date,hostname,CPU#0 Status,MEM#00A Status,MEM#01A Status,MEM#02A Status,MEM#03A Status,PSU#0 Status,PSU#1 Status,FANU#0 Status,FANU#1 Status,FANU#2 Status,FANU#3 Status,FANU#4 Status,FANU#5 Status,FANU#6 Status,uptime,load_average_last_1_min,load_average_last_5_min,load_average_last_15_min,Status_of_volume,Hard_disk_2_0,Hard_disk_2_1,Hard_disk_2_2,Hard_disk_2_3,rpool_state,rpool_CAP,IPv4_LISTEN,net0/v4_STATE,net1/v4_STATE,net2/v4_STATE,net3/v4_STATE,net4/v4_STATE,net5/v4_STATE,net6/v4_STATE,net7/v4_STATE,net8/v4_STATE,net9/v4_STATE,net10/v4_STATE,net11/v4_STATE,Temperature,CPU_0_Temperature,MEM_00A_Temperature,MEM_01A_Temperature,MEM_02A_Temperature,MEM_03A_Temperature,SAS_Temperature,MBU_1_35V_0_volt,MBU_1_35V_1_volt,MBU_1_5V_0_volt,MBU_1_5V_1_volt,PSUBP_3_3V,PSUBP_5_0V,FAN_0_0,FAN_0_1,FAN_1_0,FAN_1_1,FAN_2_0,FAN_2_1,FAN_3_0,FAN_3_1,FAN_4_0,FAN_4_1,FAN_5_0,FAN_5_1,FAN_6_0,FAN_6_1,Actual_AC_power_consumption,Air_Flow,PSB_00_0_Fault,Own_Status,CEDS_Number_of_Process,CEDS_almevt_k_dbt_count,CEDS_oradata_Usage,SCADA_To_mode
2024040211,CEDS_10.132.24.62,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,155,0.05,0.04,0.04,Okay,Optimal,Optimal,Hot Spare,Ready,ONLINE,45,21/22/23/111/389/514/636/1521/6482/8101/36261/60740,ok,ok,ok,N/A,ok,N/A,ok,N/A,N/A,N/A,N/A,N/A,19.81,40.05,25.50,25.50,26.75,26.25,32.06,1.346,1.346,1.543,1.496,3.301,5.052,10246,8780,10093,8626,10169,8752,10000,8503,10112,8737,10227,8794,10266,8780,208,76,Normal,Alive in Master,22,7534,38,N/A
2024040211,CEDS_10.133.24.62,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,182,0.05,0.04,0.04,Okay,Optimal,Optimal,Hot Spare,Ready,ONLINE,45,21/22/23/111/389/514/636/1521/6482/8101/37888/63084,ok,ok,ok,N/A,ok,N/A,ok,N/A,N/A,N/A,N/A,N/A,22.00,41.79,28.25,27.50,29.25,29.00,34.31,1.345,1.347,1.535,1.498,3.273,5.023,10953,9342,10821,9262,11111,9457,10953,9246,10887,9310,10953,9342,10756,9230,214,82,Normal,Alive in Master,22,6761,38,N/A
2024040211,CEDS_10.134.24.62,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,94,0.05,0.04,0.04,Okay,Optimal,Optimal,Hot Spare,Ready,ONLINE,45,21/22/23/111/389/514/636/1521/6482/8101/14370/35489,ok,ok,ok,N/A,ok,N/A,ok,N/A,N/A,N/A,N/A,N/A,20.62,44.28,27.00,26.25,29.00,28.25,34.38,1.344,1.346,1.539,1.496,3.284,5.021,10018,8626,9963,8598,10227,8837,9694,8294,9872,8490,9908,8477,10188,8752,218,76,Normal,Alive in Master,22,9970,38,N/A
2024040211,CEDS_10.151.24.62,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,196,0.05,0.04,0.04,Okay,Optimal,Optimal,Hot Spare,Ready,ONLINE,46,21/22/23/111/389/514/636/1521/6482/8101/17445/37948,ok,ok,ok,N/A,ok,N/A,ok,N/A,N/A,N/A,N/A,N/A,20.44,41.73,26.25,26.00,27.75,26.50,32.88,1.345,1.346,1.537,1.496,3.279,5.059,10055,8640,10037,8626,10037,8640,10037,8503,10037,8626,10037,8681,10074,8653,213,76,Normal,Alive in Master,22,1315,38,N/A
2024040211,CEDS_10.135.24.62,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,195,0.05,0.05,0.04,Okay,Optimal,Optimal,Hot Spare,Ready,ONLINE,45,21/22/23/111/389/514/636/1521/6482/8101/37048/40626,ok,ok,ok,N/A,ok,N/A,ok,N/A,N/A,N/A,N/A,N/A,24.56,46.66,30.75,30.75,32.25,31.00,37.19,1.346,1.345,1.546,1.501,3.258,5.017,11020,9391,10909,9215,11111,9507,10629,9152,11111,9473,10756,9137,11134,9473,224,82,Normal,Alive in Master,22,7050,38,N/A
2024040211,CEDS_10.136.24.62,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,281,0.05,0.04,0.04,Okay,Optimal,Optimal,Hot Spare,Ready,ONLINE,45,21/22/23/111/389/514/636/1521/6482/8101/11285/34410,ok,ok,ok,N/A,ok,N/A,ok,N/A,N/A,N/A,N/A,N/A,26.19,44.98,31.75,31.25,32.75,32.00,35.94,1.345,1.346,1.537,1.500,3.274,5.040,14516,12529,14210,12134,14248,12272,14062,11946,14438,12500,14285,12107,14634,12558,244,99,Normal,Alive in Master,22,8683,38,N/A
2024040211,CEDS_10.152.24.62,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,127,0.05,0.04,0.04,Okay,Optimal,Optimal,Hot Spare,Ready,ONLINE,48,21/22/23/111/389/514/636/1521/6482/8101/29181/64758,ok,ok,ok,N/A,ok,N/A,ok,N/A,N/A,N/A,N/A,N/A,22.94,43.12,28.75,28.25,29.75,28.75,35.25,1.345,1.346,1.547,1.503,3.281,5.073,10975,9358,10975,9262,11111,9490,10953,9278,11020,9457,10843,9278,10953,9294,220,82,Normal,Alive in Master,22,7315,38,N/A
2024040211,CEDS_10.137.24.62,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,126,0.05,0.04,0.04,Okay,Optimal,Optimal,Hot Spare,Ready,ONLINE,45,21/22/23/111/389/514/636/1521/6482/8101/11928/17872,ok,ok,ok,N/A,ok,N/A,ok,N/A,N/A,N/A,N/A,N/A,27.25,45.56,32.00,32.00,33.75,33.00,37.44,1.348,1.348,1.539,1.499,3.266,5.059,14477,12413,14248,12244,14438,12300,14173,12162,14438,12356,14099,12217,14400,12529,241,99,Normal,Alive in Master,22,7704,38,N/A
2024040211,CEDS_10.139.24.62,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,97,0.05,0.04,0.04,Okay,Optimal,Optimal,Hot Spare,Ready,ONLINE,45,21/22/23/111/389/514/636/1521/6482/8101/12393/31819,ok,ok,ok,N/A,ok,N/A,ok,N/A,N/A,N/A,N/A,N/A,24.25,46.78,30.25,30.00,31.75,30.75,36.75,1.344,1.346,1.539,1.501,3.270,5.031,10909,9358,10975,9473,10909,9310,10567,9230,10975,9391,11042,9424,11020,9490,222,82,Normal,Alive in Master,22,8886,38,N/A
2024040211,CEDS_10.140.24.62,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,160,0.05,0.05,0.04,Okay,Optimal,Optimal,Hot Spare,Ready,ONLINE,45,21/22/23/111/389/514/636/1521/6482/8101/46010/62223,ok,ok,ok,N/A,ok,N/A,ok,N/A,N/A,N/A,N/A,N/A,21.88,43.18,28.00,27.25,29.50,28.75,34.81,1.345,1.346,1.538,1.499,3.279,5.063,10953,9391,10953,9391,10997,9391,10997,9294,10821,9326,10975,9407,10909,9310,216,82,Normal,Alive in Master,22,7135,38,N/A
2024040211,CEDS_10.148.24.62,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,235,0.05,0.04,0.04,Okay,Optimal,Optimal,Hot Spare,Ready,ONLINE,46,21/22/23/111/389/514/636/1521/5900/6482/8101/54363/58128,ok,ok,ok,N/A,ok,N/A,ok,N/A,N/A,N/A,N/A,N/A,24.88,47.30,30.75,31.00,33.00,32.00,37.88,1.344,1.346,1.542,1.498,3.264,5.073,10887,9246,10953,9424,10997,9391,10800,9137,10931,9326,10865,9278,11042,9507,221,82,Normal,Alive in Master,22,3224,38,N/A
2024040211,CEDS_10.141.24.62,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,161,0.03,0.03,0.03,Okay,Optimal,Optimal,Hot Spare,Ready,ONLINE,49,21/22/23/111/389/514/636/1521/6482/8101/52069/56266,ok,ok,ok,N/A,ok,N/A,ok,N/A,N/A,N/A,N/A,N/A,21.12,41.03,27.00,27.00,28.00,27.50,33.06,1.344,1.346,1.532,1.496,3.279,5.051,10843,9310,10887,9342,11020,9457,10931,9310,10800,9230,10843,9278,10778,9215,215,82,Normal,Alive in Master,22,11978,37,N/A
2024040211,CEDS_10.154.24.62,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,264,0.03,0.03,0.03,Okay,Optimal,Optimal,Hot Spare,Ready,ONLINE,54,21/22/23/111/389/514/636/1521/6482/8101/50000/57607,ok,ok,ok,N/A,ok,N/A,ok,inaccessible,N/A,N/A,N/A,N/A,24.88,44.63,30.25,30.00,30.75,30.50,36.81,1.345,1.346,1.537,1.499,3.296,5.047,11042,9424,10821,9262,10909,9342,10821,9215,10909,9262,11088,9540,10909,9358,219,82,Normal,Alive in Master,22,15211,47,N/A
2024040211,TIS_10.152.24.72,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,127,0.01,0.01,0.01,Okay,Optimal,Optimal,Hot Spare,Ready,ONLINE,22,21/22/23/111/6482/8101,ok,ok,ok,N/A,ok,N/A,ok,N/A,N/A,N/A,N/A,N/A,22.44,42.95,27.75,27.75,29.50,28.75,34.81,1.345,1.346,1.531,1.494,3.280,5.061,11088,9523,10931,9407,11042,9473,11020,9326,11065,9473,11020,9457,11134,9540,217,82,Normal,N/A,N/A,N/A,N/A,N/A
2024040211,TIS_10.154.24.72,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,264,0.01,0.01,0.01,Okay,Optimal,Optimal,Hot Spare,Ready,ONLINE,22,21/22/23/111/514/6482/8101,ok,ok,ok,N/A,ok,N/A,ok,inaccessible,N/A,N/A,N/A,N/A,24.06,44.11,30.25,30.25,31.00,30.00,35.88,1.344,1.346,1.534,1.494,3.280,5.075,10997,9457,10887,9358,11134,9457,10865,9199,10887,9358,10821,9342,10909,9375,216,82,Normal,N/A,N/A,N/A,N/A,N/A
2024040211,TIS_10.148.24.72,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,235,0.01,0.01,0.01,Okay,Optimal,Optimal,Hot Spare,Ready,ONLINE,22,22/23/111/6482/8101,ok,ok,ok,N/A,ok,N/A,ok,N/A,N/A,N/A,N/A,N/A,24.56,45.91,30.75,30.25,32.25,31.25,36.94,1.344,1.347,1.541,1.498,3.274,5.054,10821,9199,11088,9407,10778,9215,10588,9183,11042,9407,11042,9440,11065,9440,220,82,Normal,N/A,N/A,N/A,N/A,N/A
2024040211,DAC_10.152.16.31,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,81,0.02,0.02,0.02,Okay,Optimal,Optimal,Hot Spare,Ready,ONLINE,30,21/22/23/111/6482/8101,ok,ok,ok,N/A,N/A,ok,N/A,N/A,N/A,N/A,N/A,N/A,22.56,44.69,29.25,28.50,30.75,30.25,35.19,1.345,1.346,1.547,1.496,3.269,5.038,11111,9490,10887,9342,11134,9507,10975,9375,10997,9440,10997,9440,10865,9342,221,82,Normal,N/A,N/A,N/A,N/A,ONLINE 
2024040211,OIF_10.152.24.33,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,81,0.01,0.01,0.01,Okay,Optimal,Optimal,Hot Spare,Ready,ONLINE,24,21/22/23/111/6482/8101,N/A,ok,ok,N/A,N/A,ok,N/A,N/A,N/A,N/A,N/A,N/A,22.00,44.86,28.75,28.25,30.75,30.50,35.44,1.344,1.348,1.538,1.504,3.266,5.054,10997,9523,10778,9278,10953,9440,11111,9358,10843,9342,11088,9557,11180,9540,223,82,Normal,N/A,N/A,N/A,N/A,ONLINE 
